# Order ID,SKU,Required Amount,Order Received Time,Deadline Time
1,1579172,6,2016/6/18 0:06,2016/6/18 17:00
2,2609314,12,2016/6/18 0:06,2016/6/18 17:00
3,1335852,53,2016/6/18 0:06,2016/6/18 17:00
4,1748526,5,2016/6/18 0:06,2016/6/18 17:00
5,1332937,2,2016/6/18 0:06,2016/6/18 17:00
6,1130627,25,2016/6/18 0:06,2016/6/18 17:00
7,2024548,2,2016/6/18 0:06,2016/6/18 17:00
8,1471608,8,2016/6/18 0:06,2016/6/18 17:00
9,960055,10,2016/6/18 0:06,2016/6/18 17:00
10,1060862,22,2016/6/18 0:06,2016/6/18 17:00
11,2339136,8,2016/6/18 0:06,2016/6/18 17:00
12,1664594,48,2016/6/18 0:06,2016/6/18 17:00
13,1308094,7,2016/6/18 0:06,2016/6/18 17:00
14,1312738,7,2016/6/18 0:06,2016/6/18 17:00
15,1937479,26,2016/6/18 0:06,2016/6/18 17:00
16,2265044,14,2016/6/18 0:06,2016/6/18 17:00
17,2949632,141,2016/6/18 0:06,2016/6/18 17:00
18,873486,1,2016/6/18 0:06,2016/6/18 17:00
19,1842778,3,2016/6/18 0:06,2016/6/18 17:00
20,1285203,14,2016/6/18 0:06,2016/6/18 17:00
21,954227,98,2016/6/18 0:06,2016/6/18 17:00
22,1279544,1,2016/6/18 0:06,2016/6/18 17:00
23,2171826,1,2016/6/18 0:06,2016/6/18 17:00
24,1689327,107,2016/6/18 0:06,2016/6/18 17:00
25,1305610,2,2016/6/18 0:06,2016/6/18 17:00
26,1286521,15,2016/6/18 0:06,2016/6/18 17:00
27,1473101,82,2016/6/18 0:06,2016/6/18 17:00
28,594842,4,2016/6/18 0:06,2016/6/18 17:00
29,2208582,25,2016/6/18 0:06,2016/6/18 17:00
30,298104,13,2016/6/18 0:06,2016/6/18 17:00
31,2347045,5,2016/6/18 0:06,2016/6/18 17:00
32,1060862,2,2016/6/18 0:06,2016/6/18 17:00
33,2195219,6,2016/6/18 0:06,2016/6/18 17:00
34,1021099,21,2016/6/18 0:06,2016/6/18 17:00
35,2363119,1,2016/6/18 0:06,2016/6/18 17:00
36,594842,5,2016/6/18 0:06,2016/6/18 17:00
37,594768,12,2016/6/18 0:06,2016/6/18 17:00
38,2166390,1,2016/6/18 0:06,2016/6/18 17:00
39,1362246,2,2016/6/18 0:06,2016/6/18 17:00
40,491715,22,2016/6/18 0:06,2016/6/18 17:00
41,979761,8,2016/6/18 0:06,2016/6/18 17:00
42,1308094,8,2016/6/18 0:06,2016/6/18 17:00
43,1239048,29,2016/6/18 0:06,2016/6/18 17:00
44,2480646,35,2016/6/18 0:06,2016/6/18 17:00
45,2363119,5,2016/6/18 0:06,2016/6/18 17:00
46,2348792,12,2016/6/18 0:06,2016/6/18 17:00
47,435168,2,2016/6/18 0:06,2016/6/18 17:00
48,2243169,15,2016/6/18 0:06,2016/6/18 17:00
49,528133,1,2016/6/18 0:06,2016/6/18 17:00
50,1060862,22,2016/6/18 0:06,2016/6/18 17:00
51,961380,13,2016/6/18 0:06,2016/6/18 17:00
52,195285,41,2016/6/18 0:06,2016/6/18 17:00
53,1071203,3,2016/6/18 0:06,2016/6/18 17:00
54,2177427,70,2016/6/18 0:06,2016/6/18 17:00
55,860498,10,2016/6/18 0:06,2016/6/18 17:00
56,1303547,1,2016/6/18 0:06,2016/6/18 17:00
57,1332937,3,2016/6/18 0:06,2016/6/18 17:00
58,1312318,44,2016/6/18 0:06,2016/6/18 17:00
59,2363119,1,2016/6/18 0:06,2016/6/18 17:00
60,1003105,16,2016/6/18 0:06,2016/6/18 17:00
61,1335857,219,2016/6/18 0:06,2016/6/18 17:00
62,852701,18,2016/6/18 0:06,2016/6/18 17:00
63,2404560,33,2016/6/18 0:06,2016/6/18 17:00
64,2208582,36,2016/6/18 0:06,2016/6/18 17:00
65,1867146,1,2016/6/18 0:06,2016/6/18 17:00
66,491715,1,2016/6/18 0:06,2016/6/18 17:00
67,1229446,8,2016/6/18 0:06,2016/6/18 17:00
68,1228113,8,2016/6/18 0:06,2016/6/18 17:00
69,1282174,33,2016/6/18 0:06,2016/6/18 17:00
70,1323098,4,2016/6/18 0:06,2016/6/18 17:00
71,1297235,45,2016/6/18 0:06,2016/6/18 17:00
72,1298675,27,2016/6/18 0:06,2016/6/18 17:00
73,1282174,1,2016/6/18 0:06,2016/6/18 17:00
74,416905,6,2016/6/18 0:06,2016/6/18 17:00
75,243215,25,2016/6/18 0:06,2016/6/18 17:00
76,1418322,7,2016/6/18 0:06,2016/6/18 17:00
77,1312738,6,2016/6/18 0:06,2016/6/18 17:00
78,1974412,4,2016/6/18 0:06,2016/6/18 17:00
79,732381,30,2016/6/18 0:06,2016/6/18 17:00
80,2171945,4,2016/6/18 0:06,2016/6/18 17:00
81,1419126,30,2016/6/18 0:06,2016/6/18 17:00
82,646224,17,2016/6/18 0:06,2016/6/18 17:00
83,1473101,2,2016/6/18 0:06,2016/6/18 17:00
84,1085002,85,2016/6/18 0:06,2016/6/18 17:00
85,1044478,6,2016/6/18 0:06,2016/6/18 17:00
86,553114,83,2016/6/18 0:06,2016/6/18 17:00
87,1305609,19,2016/6/18 0:06,2016/6/18 17:00
88,2177427,1,2016/6/18 0:06,2016/6/18 17:00
89,2281281,6,2016/6/18 0:06,2016/6/18 17:00
90,2247314,21,2016/6/18 0:06,2016/6/18 17:00
91,2302238,67,2016/6/18 0:06,2016/6/18 17:00
92,2208582,5,2016/6/18 0:06,2016/6/18 17:00
93,243215,24,2016/6/18 0:06,2016/6/18 17:00
94,1130627,1,2016/6/18 0:06,2016/6/18 17:00
95,104151,28,2016/6/18 0:06,2016/6/18 17:00
96,195285,23,2016/6/18 0:06,2016/6/18 17:00
97,416905,7,2016/6/18 0:06,2016/6/18 17:00
98,1666223,1,2016/6/18 0:06,2016/6/18 17:00
99,1500641,16,2016/6/18 0:06,2016/6/18 17:00
100,2307911,18,2016/6/18 0:06,2016/6/18 17:00
101,746439,5,2016/6/18 0:06,2016/6/18 17:00
102,1187578,21,2016/6/18 0:06,2016/6/18 17:00
103,1622955,45,2016/6/18 0:06,2016/6/18 17:00
104,2714736,41,2016/6/18 0:06,2016/6/18 17:00
105,1748525,35,2016/6/18 0:06,2016/6/18 17:00
106,1689327,1,2016/6/18 0:06,2016/6/18 17:00
107,2404560,24,2016/6/18 0:06,2016/6/18 17:00
108,1139853,12,2016/6/18 0:06,2016/6/18 17:00
109,1842778,1,2016/6/18 0:06,2016/6/18 17:00
110,669048,18,2016/6/18 0:06,2016/6/18 17:00
111,873486,1,2016/6/18 0:06,2016/6/18 17:00
112,1418322,1,2016/6/18 0:06,2016/6/18 17:00
113,860498,7,2016/6/18 0:06,2016/6/18 17:00
114,1209604,28,2016/6/18 0:06,2016/6/18 17:00
115,594768,24,2016/6/18 0:06,2016/6/18 17:00
116,2291431,3,2016/6/18 0:06,2016/6/18 17:00
117,1376233,7,2016/6/18 0:06,2016/6/18 17:00
118,1285203,2,2016/6/18 0:06,2016/6/18 17:00
119,968377,5,2016/6/18 0:06,2016/6/18 17:00
120,1664594,43,2016/6/18 0:06,2016/6/18 17:00
121,1447319,141,2016/6/18 0:06,2016/6/18 17:00
122,2339892,79,2016/6/18 0:06,2016/6/18 17:00
123,1669792,1,2016/6/18 0:06,2016/6/18 17:00
124,646224,2,2016/6/18 0:06,2016/6/18 17:00
125,961380,1,2016/6/18 0:06,2016/6/18 17:00
126,2427521,14,2016/6/18 0:06,2016/6/18 17:00
127,1297235,6,2016/6/18 0:06,2016/6/18 17:00
128,2339136,1,2016/6/18 0:06,2016/6/18 17:00
129,1279544,1,2016/6/18 0:06,2016/6/18 17:00
130,1376233,23,2016/6/18 0:06,2016/6/18 17:00
131,1303547,1,2016/6/18 0:06,2016/6/18 17:00
132,1969688,8,2016/6/18 0:06,2016/6/18 17:00
133,1162131,20,2016/6/18 0:06,2016/6/18 17:00
134,1436639,17,2016/6/18 0:06,2016/6/18 17:00
135,548500,27,2016/6/18 0:06,2016/6/18 17:00
136,1436639,1,2016/6/18 0:06,2016/6/18 17:00
137,695477,6,2016/6/18 0:06,2016/6/18 17:00
138,1085002,6,2016/6/18 0:06,2016/6/18 17:00
139,1856223,5,2016/6/18 0:06,2016/6/18 17:00
140,669048,3,2016/6/18 0:06,2016/6/18 17:00
141,959838,29,2016/6/18 0:06,2016/6/18 17:00
142,2781723,1,2016/6/18 0:06,2016/6/18 17:00
143,1312738,1,2016/6/18 0:06,2016/6/18 17:00
144,2379111,2,2016/6/18 0:06,2016/6/18 17:00
145,1239048,4,2016/6/18 0:06,2016/6/18 17:00
146,1471608,6,2016/6/18 0:06,2016/6/18 17:00
147,645147,16,2016/6/18 0:06,2016/6/18 17:00
148,2302238,1,2016/6/18 0:06,2016/6/18 17:00
149,1285203,5,2016/6/18 0:06,2016/6/18 17:00
150,1298675,4,2016/6/18 0:06,2016/6/18 17:00
151,287212,11,2016/6/18 0:06,2016/6/18 17:00
152,2427521,8,2016/6/18 0:06,2016/6/18 17:00
153,1212521,32,2016/6/18 0:06,2016/6/18 17:00
154,2609314,3,2016/6/18 0:06,2016/6/18 17:00
155,2208582,10,2016/6/18 0:06,2016/6/18 17:00
156,2285122,8,2016/6/18 0:06,2016/6/18 17:00
157,1094757,3,2016/6/18 0:06,2016/6/18 17:00
158,1376233,1,2016/6/18 0:06,2016/6/18 17:00
159,1302641,42,2016/6/18 0:06,2016/6/18 17:00
160,2404560,6,2016/6/18 0:06,2016/6/18 17:00
161,901900,7,2016/6/18 0:06,2016/6/18 17:00
162,2383233,5,2016/6/18 0:06,2016/6/18 17:00
163,1834962,6,2016/6/18 0:06,2016/6/18 17:00
164,1834962,11,2016/6/18 0:06,2016/6/18 17:00
165,2316002,11,2016/6/18 0:06,2016/6/18 17:00
166,961380,2,2016/6/18 0:06,2016/6/18 17:00
167,733141,5,2016/6/18 0:06,2016/6/18 17:00
168,1085002,38,2016/6/18 0:06,2016/6/18 17:00
169,671422,33,2016/6/18 0:06,2016/6/18 17:00
170,1308094,4,2016/6/18 0:06,2016/6/18 17:00
171,1657851,2,2016/6/18 0:06,2016/6/18 17:00
172,1263718,1,2016/6/18 0:06,2016/6/18 17:00
173,243216,45,2016/6/18 0:06,2016/6/18 17:00
174,298104,2,2016/6/18 0:06,2016/6/18 17:00
175,528420,3,2016/6/18 0:06,2016/6/18 17:00
176,2171826,1,2016/6/18 0:06,2016/6/18 17:00
177,746439,2,2016/6/18 0:06,2016/6/18 17:00
178,1229446,2,2016/6/18 0:06,2016/6/18 17:00
179,813728,17,2016/6/18 0:06,2016/6/18 17:00
180,901897,19,2016/6/18 0:06,2016/6/18 17:00
181,2247314,7,2016/6/18 0:06,2016/6/18 17:00
182,1263718,3,2016/6/18 0:06,2016/6/18 17:00
183,1209604,1,2016/6/18 0:06,2016/6/18 17:00
184,548501,141,2016/6/18 0:06,2016/6/18 17:00
185,2190033,3,2016/6/18 0:06,2016/6/18 17:00
186,1103180,23,2016/6/18 0:06,2016/6/18 17:00
187,954227,5,2016/6/18 0:06,2016/6/18 17:00
188,852701,1,2016/6/18 0:06,2016/6/18 17:00
189,1875883,9,2016/6/18 0:06,2016/6/18 17:00
190,1897786,30,2016/6/18 0:06,2016/6/18 17:00
191,645147,29,2016/6/18 0:06,2016/6/18 17:00
192,594842,2,2016/6/18 0:06,2016/6/18 17:00
193,2307911,3,2016/6/18 0:06,2016/6/18 17:00
194,1867146,3,2016/6/18 0:06,2016/6/18 17:00
195,2243169,1,2016/6/18 0:06,2016/6/18 17:00
196,2195219,2,2016/6/18 0:06,2016/6/18 17:00
197,671422,4,2016/6/18 0:06,2016/6/18 17:00
198,1021099,31,2016/6/18 0:06,2016/6/18 17:00
199,645147,4,2016/6/18 0:06,2016/6/18 17:00
200,2166390,29,2016/6/18 0:06,2016/6/18 17:00
201,1086094,36,2016/6/18 0:06,2016/6/18 17:00
202,2195219,1,2016/6/18 0:06,2016/6/18 17:00
203,1842408,11,2016/6/18 0:06,2016/6/18 17:00
204,1848313,11,2016/6/18 0:06,2016/6/18 17:00
205,2024548,7,2016/6/18 0:06,2016/6/18 17:00
206,1851370,12,2016/6/18 0:06,2016/6/18 17:00
207,1436639,2,2016/6/18 0:06,2016/6/18 17:00
208,195285,2,2016/6/18 0:06,2016/6/18 17:00
209,1312305,10,2016/6/18 0:06,2016/6/18 17:00
210,1187577,58,2016/6/18 0:06,2016/6/18 17:00
211,646197,4,2016/6/18 0:06,2016/6/18 17:00
212,528420,27,2016/6/18 0:06,2016/6/18 17:00
213,526827,2,2016/6/18 0:06,2016/6/18 17:00
214,683186,4,2016/6/18 0:06,2016/6/18 17:00
215,2427521,16,2016/6/18 0:06,2016/6/18 17:00
216,979761,8,2016/6/18 0:06,2016/6/18 17:00
217,1138744,57,2016/6/18 0:06,2016/6/18 17:00
218,901900,5,2016/6/18 0:06,2016/6/18 17:00
219,2261629,3,2016/6/18 0:06,2016/6/18 17:00
220,1856223,17,2016/6/18 0:06,2016/6/18 17:00
221,2208582,1,2016/6/18 0:06,2016/6/18 17:00
222,243216,110,2016/6/18 0:06,2016/6/18 17:00
223,1851370,1,2016/6/18 0:06,2016/6/18 17:00
224,954227,3,2016/6/18 0:06,2016/6/18 17:00
225,840211,187,2016/6/18 0:06,2016/6/18 17:00
226,979761,2,2016/6/18 0:06,2016/6/18 17:00
227,526827,29,2016/6/18 0:06,2016/6/18 17:00
228,2285122,3,2016/6/18 0:06,2016/6/18 17:00
229,1500641,1,2016/6/18 0:06,2016/6/18 17:00
230,1308094,1,2016/6/18 0:06,2016/6/18 17:00
231,1748525,16,2016/6/18 0:06,2016/6/18 17:00
232,979761,1,2016/6/18 0:06,2016/6/18 17:00
233,683186,7,2016/6/18 0:06,2016/6/18 17:00
234,2668687,7,2016/6/18 0:06,2016/6/18 17:00
235,972807,5,2016/6/18 0:06,2016/6/18 17:00
236,2289188,12,2016/6/18 0:06,2016/6/18 17:00
237,1162136,15,2016/6/18 0:06,2016/6/18 17:00
238,1506688,127,2016/6/18 0:06,2016/6/18 17:00
239,243216,19,2016/6/18 0:06,2016/6/18 17:00
240,695477,34,2016/6/18 0:06,2016/6/18 17:00
241,647260,17,2016/6/18 0:06,2016/6/18 17:00
242,1875883,1,2016/6/18 0:06,2016/6/18 17:00
243,968377,1,2016/6/18 0:06,2016/6/18 17:00
244,2949632,33,2016/6/18 0:06,2016/6/18 17:00
245,901897,3,2016/6/18 0:06,2016/6/18 17:00
246,671422,6,2016/6/18 0:06,2016/6/18 17:00
247,959838,1,2016/6/18 0:06,2016/6/18 17:00
248,1305609,2,2016/6/18 0:06,2016/6/18 17:00
249,1579172,22,2016/6/18 0:06,2016/6/18 17:00
250,960055,12,2016/6/18 0:06,2016/6/18 17:00
251,2024548,1,2016/6/18 0:06,2016/6/18 17:00
252,2668687,5,2016/6/18 0:06,2016/6/18 17:00
253,1848313,23,2016/6/18 0:06,2016/6/18 17:00
254,1413820,53,2016/6/18 0:06,2016/6/18 17:00
255,2195219,3,2016/6/18 0:06,2016/6/18 17:00
256,1427737,17,2016/6/18 0:06,2016/6/18 17:00
257,1419126,6,2016/6/18 0:06,2016/6/18 17:00
258,1212521,1,2016/6/18 0:06,2016/6/18 17:00
259,1506688,13,2016/6/18 0:06,2016/6/18 17:00
260,2347045,25,2016/6/18 0:06,2016/6/18 17:00
261,2347045,5,2016/6/18 0:06,2016/6/18 17:00
262,1305609,1,2016/6/18 0:06,2016/6/18 17:00
263,1302641,3,2016/6/18 0:06,2016/6/18 17:00
264,1103180,11,2016/6/18 0:06,2016/6/18 17:00
265,416905,16,2016/6/18 0:06,2016/6/18 17:00
266,1003105,3,2016/6/18 0:06,2016/6/18 17:00
267,1285328,49,2016/6/18 0:06,2016/6/18 17:00
268,1323098,8,2016/6/18 0:06,2016/6/18 17:00
269,1312738,1,2016/6/18 0:06,2016/6/18 17:00
270,2247905,40,2016/6/18 0:06,2016/6/18 17:00
271,645147,7,2016/6/18 0:06,2016/6/18 17:00
272,553114,31,2016/6/18 0:06,2016/6/18 17:00
273,2781723,8,2016/6/18 0:06,2016/6/18 17:00
274,645147,2,2016/6/18 0:06,2016/6/18 17:00
275,669048,5,2016/6/18 0:06,2016/6/18 17:00
276,435168,13,2016/6/18 0:06,2016/6/18 17:00
277,1297235,1,2016/6/18 0:06,2016/6/18 17:00
278,1303547,2,2016/6/18 0:06,2016/6/18 17:00
279,1298675,4,2016/6/18 0:06,2016/6/18 17:00
280,1909888,5,2016/6/18 0:06,2016/6/18 17:00
281,1748525,2,2016/6/18 0:06,2016/6/18 17:00
282,1071203,1,2016/6/18 0:06,2016/6/18 17:00
283,2609314,3,2016/6/18 0:06,2016/6/18 17:00
284,1323098,2,2016/6/18 0:06,2016/6/18 17:00
285,1500641,1,2016/6/18 0:06,2016/6/18 17:00
286,416905,1,2016/6/18 0:06,2016/6/18 17:00
287,1429923,15,2016/6/18 0:06,2016/6/18 17:00
288,1162131,12,2016/6/18 0:06,2016/6/18 17:00
289,961380,1,2016/6/18 0:06,2016/6/18 17:00
290,1312318,4,2016/6/18 0:06,2016/6/18 17:00
291,1274286,2,2016/6/18 0:06,2016/6/18 17:00
292,1122741,15,2016/6/18 0:06,2016/6/18 17:00
293,2166390,1,2016/6/18 0:06,2016/6/18 17:00
294,1286521,14,2016/6/18 0:06,2016/6/18 17:00
295,1842408,1,2016/6/18 0:06,2016/6/18 17:00
296,1429923,24,2016/6/18 0:06,2016/6/18 17:00
297,1044478,18,2016/6/18 0:06,2016/6/18 17:00
298,2261629,20,2016/6/18 0:06,2016/6/18 17:00
299,2347045,2,2016/6/18 0:06,2016/6/18 17:00
300,646197,16,2016/6/18 0:06,2016/6/18 17:00
301,1429923,4,2016/6/18 0:06,2016/6/18 17:00
302,1751060,7,2016/6/18 0:06,2016/6/18 17:00
303,1404779,6,2016/6/18 0:06,2016/6/18 17:00
304,2166390,1,2016/6/18 0:06,2016/6/18 17:00
305,1856223,6,2016/6/18 0:06,2016/6/18 17:00
306,2302238,1,2016/6/18 0:06,2016/6/18 17:00
307,1362246,1,2016/6/18 0:06,2016/6/18 17:00
308,1856223,3,2016/6/18 0:06,2016/6/18 17:00
309,852701,6,2016/6/18 0:06,2016/6/18 17:00
310,1851370,1,2016/6/18 0:06,2016/6/18 17:00
311,901902,14,2016/6/18 0:06,2016/6/18 17:00
312,1500641,2,2016/6/18 0:06,2016/6/18 17:00
313,1471608,2,2016/6/18 0:06,2016/6/18 17:00
314,910144,16,2016/6/18 0:06,2016/6/18 17:00
315,2949632,13,2016/6/18 0:06,2016/6/18 17:00
316,972807,1,2016/6/18 0:06,2016/6/18 17:00
317,528420,20,2016/6/18 0:06,2016/6/18 17:00
318,1285328,28,2016/6/18 0:06,2016/6/18 17:00
319,852701,2,2016/6/18 0:06,2016/6/18 17:00
320,1003105,2,2016/6/18 0:06,2016/6/18 17:00
321,1162131,2,2016/6/18 0:06,2016/6/18 17:00
322,1302641,5,2016/6/18 0:06,2016/6/18 17:00
323,863383,6,2016/6/18 0:06,2016/6/18 17:00
324,582599,44,2016/6/18 0:06,2016/6/18 17:00
325,669048,1,2016/6/18 0:06,2016/6/18 17:00
326,287212,11,2016/6/18 0:06,2016/6/18 17:00
327,1848313,4,2016/6/18 0:06,2016/6/18 17:00
328,243216,5,2016/6/18 0:06,2016/6/18 17:00
329,1579172,6,2016/6/18 0:06,2016/6/18 17:00
330,1003105,4,2016/6/18 0:06,2016/6/18 17:00
331,1187564,7,2016/6/18 0:06,2016/6/18 17:00
332,1909888,1,2016/6/18 0:06,2016/6/18 17:00
333,1138744,3,2016/6/18 0:06,2016/6/18 17:00
334,1187578,28,2016/6/18 0:06,2016/6/18 17:00
335,646197,2,2016/6/18 0:06,2016/6/18 17:00
336,528420,1,2016/6/18 0:06,2016/6/18 17:00
337,1404779,27,2016/6/18 0:06,2016/6/18 17:00
338,1447319,12,2016/6/18 0:06,2016/6/18 17:00
339,1490144,1,2016/6/18 0:06,2016/6/18 17:00
340,1848313,4,2016/6/18 0:06,2016/6/18 17:00
341,1479875,23,2016/6/18 0:06,2016/6/18 17:00
342,1748525,1,2016/6/18 0:06,2016/6/18 17:00
343,2281281,24,2016/6/18 0:06,2016/6/18 17:00
344,733141,6,2016/6/18 0:06,2016/6/18 17:00
345,732381,1,2016/6/18 0:06,2016/6/18 17:00
346,653296,22,2016/6/18 0:06,2016/6/18 17:00
347,318139,3,2016/6/18 0:06,2016/6/18 17:00
348,2483514,52,2016/6/18 0:06,2016/6/18 17:00
349,1229446,1,2016/6/18 0:06,2016/6/18 17:00
350,1187564,9,2016/6/18 0:06,2016/6/18 17:00
351,2265044,17,2016/6/18 0:06,2016/6/18 17:00
352,2404560,29,2016/6/18 0:06,2016/6/18 17:00
353,298104,4,2016/6/18 0:06,2016/6/18 17:00
354,2265044,37,2016/6/18 0:06,2016/6/18 17:00
355,582599,76,2016/6/18 0:06,2016/6/18 17:00
356,1413820,39,2016/6/18 0:06,2016/6/18 17:00
357,840211,19,2016/6/18 0:06,2016/6/18 17:00
358,1335852,5,2016/6/18 0:06,2016/6/18 17:00
359,1044478,2,2016/6/18 0:06,2016/6/18 17:00
360,901897,4,2016/6/18 0:06,2016/6/18 17:00
361,1875883,5,2016/6/18 0:06,2016/6/18 17:00
362,528133,1,2016/6/18 0:06,2016/6/18 17:00
363,1856223,1,2016/6/18 0:06,2016/6/18 17:00
364,2427521,1,2016/6/18 0:06,2016/6/18 17:00
365,1162131,1,2016/6/18 0:06,2016/6/18 17:00
366,1086094,1,2016/6/18 0:06,2016/6/18 17:00
367,910135,41,2016/6/18 0:06,2016/6/18 17:00
368,1187577,23,2016/6/18 0:06,2016/6/18 17:00
369,2247314,2,2016/6/18 0:06,2016/6/18 17:00
370,1086094,7,2016/6/18 0:06,2016/6/18 17:00
371,1187577,24,2016/6/18 0:06,2016/6/18 17:00
372,1285328,1,2016/6/18 0:06,2016/6/18 17:00
373,1748525,8,2016/6/18 0:06,2016/6/18 17:00
374,2261629,2,2016/6/18 0:06,2016/6/18 17:00
375,594842,4,2016/6/18 0:06,2016/6/18 17:00
376,1103180,5,2016/6/18 0:06,2016/6/18 17:00
377,287212,26,2016/6/18 0:06,2016/6/18 17:00
378,1751060,7,2016/6/18 0:06,2016/6/18 17:00
379,1130627,1,2016/6/18 0:06,2016/6/18 17:00
380,671422,10,2016/6/18 0:06,2016/6/18 17:00
381,1897786,1,2016/6/18 0:06,2016/6/18 17:00
382,968377,2,2016/6/18 0:06,2016/6/18 17:00
383,910135,3,2016/6/18 0:06,2016/6/18 17:00
384,1274286,5,2016/6/18 0:06,2016/6/18 17:00
385,653296,54,2016/6/18 0:06,2016/6/18 17:00
386,287212,13,2016/6/18 0:06,2016/6/18 17:00
387,2714736,3,2016/6/18 0:06,2016/6/18 17:00
388,1766481,22,2016/6/18 0:06,2016/6/18 17:00
389,646224,1,2016/6/18 0:06,2016/6/18 17:00
390,1506688,9,2016/6/18 0:06,2016/6/18 17:00
391,1471608,2,2016/6/18 0:06,2016/6/18 17:00
392,1262000,6,2016/6/18 0:06,2016/6/18 17:00
393,2281281,8,2016/6/18 0:06,2016/6/18 17:00
394,2201629,34,2016/6/18 0:06,2016/6/18 17:00
395,1766481,4,2016/6/18 0:06,2016/6/18 17:00
396,2177427,12,2016/6/18 0:06,2016/6/18 17:00
397,2404560,2,2016/6/18 0:06,2016/6/18 17:00
398,1664594,2,2016/6/18 0:06,2016/6/18 17:00
399,1429923,1,2016/6/18 0:06,2016/6/18 17:00
400,863383,6,2016/6/18 0:06,2016/6/18 17:00
401,961380,1,2016/6/18 0:06,2016/6/18 17:00
402,1500641,2,2016/6/18 0:06,2016/6/18 17:00
403,104151,8,2016/6/18 0:06,2016/6/18 17:00
404,526827,1,2016/6/18 0:06,2016/6/18 17:00
405,2171945,1,2016/6/18 0:06,2016/6/18 17:00
406,1579172,5,2016/6/18 0:06,2016/6/18 17:00
407,1427737,4,2016/6/18 0:06,2016/6/18 17:00
408,1500641,1,2016/6/18 0:06,2016/6/18 17:00
409,1209604,1,2016/6/18 0:06,2016/6/18 17:00
410,1187564,6,2016/6/18 0:06,2016/6/18 17:00
411,2427521,1,2016/6/18 0:06,2016/6/18 17:00
412,1312318,1,2016/6/18 0:06,2016/6/18 17:00
413,863383,2,2016/6/18 0:06,2016/6/18 17:00
414,2281281,7,2016/6/18 0:06,2016/6/18 17:00
415,1506688,2,2016/6/18 0:06,2016/6/18 17:00
416,1666223,1,2016/6/18 0:06,2016/6/18 17:00
417,1323098,1,2016/6/18 0:06,2016/6/18 17:00
418,732354,44,2016/6/18 0:06,2016/6/18 17:00
419,732354,10,2016/6/18 0:06,2016/6/18 17:00
420,1021099,11,2016/6/18 0:06,2016/6/18 17:00
421,2714736,8,2016/6/18 0:06,2016/6/18 17:00
422,2201629,3,2016/6/18 0:06,2016/6/18 17:00
423,2247314,4,2016/6/18 0:06,2016/6/18 17:00
424,1427737,6,2016/6/18 0:06,2016/6/18 17:00
425,2243169,10,2016/6/18 0:06,2016/6/18 17:00
426,1139853,1,2016/6/18 0:06,2016/6/18 17:00
427,1187564,2,2016/6/18 0:06,2016/6/18 17:00
428,733141,6,2016/6/18 0:06,2016/6/18 17:00
429,1085002,9,2016/6/18 0:06,2016/6/18 17:00
430,2208582,1,2016/6/18 0:06,2016/6/18 17:00
431,910144,26,2016/6/18 0:06,2016/6/18 17:00
