experiment,task,algorithm,textbook_chapter,parameter,parameter_value,status,objective,recovered_objective,metric_direction,delta_from_reference,iterations,outer_iterations,time_seconds,equality_residual,inequality_violation,nonnegative_violation,primal_residual,dual_residual,selected_or_routes,min_load,max_load,notes
task1_admm_rho,task1_agv_assignment,admm_affine_box,Chapter 8,rho,5,max_iter,130.6927,131,minimize,0,1200,,3.7586161,0.017602688,,0,0.0019057443,0.00089642457,12,0,3,rho controls ADMM penalty balance
task1_admm_rho,task1_agv_assignment,admm_affine_box,Chapter 8,rho,10,max_iter,130.94042,131,minimize,0,1200,,3.9433048,0.0052999799,,0,0.00053347569,0.0053417462,12,0,3,rho controls ADMM penalty balance
task1_admm_rho,task1_agv_assignment,admm_affine_box,Chapter 8,rho,25,max_iter,130.5968,131,minimize,0,1200,,3.4219958,0.0023080547,,0,0.00025062347,0.010118813,12,0,3,rho controls ADMM penalty balance
task1_admm_rho,task1_agv_assignment,admm_affine_box,Chapter 8,rho,50,max_iter,131.16076,131,minimize,0,1200,,3.6740462,0.003061817,,0,0.00032039176,0.026236879,12,0,3,rho controls ADMM penalty balance
task1_admm_rho,task1_agv_assignment,admm_affine_box,Chapter 8,rho,100,max_iter,131.08787,131,minimize,0,1200,,3.99051,0.0012085661,,0,0.00012295824,0.091266604,12,0,3,rho controls ADMM penalty balance
task2_admm_rho,task2_dynamic_partition,admm_affine_box,Chapter 8,rho,10,max_iter,80330.447,80330.447,minimize,980.24674,1500,,0.44402962,7.8230639e-05,,0,9.0299569e-06,0.046751528,417,282.57976,822.25563,rho controls ADMM penalty balance
task2_admm_rho,task2_dynamic_partition,admm_affine_box,Chapter 8,rho,20,max_iter,81285.065,81285.065,minimize,1934.8652,1500,,0.46612362,0.00020561865,,0,2.6664921e-05,0.16461958,459,282.49906,754.06404,rho controls ADMM penalty balance
task2_admm_rho,task2_dynamic_partition,admm_affine_box,Chapter 8,rho,35,max_iter,83050.83,83050.83,minimize,3700.63,1500,,0.43402254,5.9539456e-05,,0,1.0294892e-05,0.72909367,485,282.61796,698.64454,rho controls ADMM penalty balance
task2_admm_rho,task2_dynamic_partition,admm_affine_box,Chapter 8,rho,70,max_iter,88101.976,88101.976,minimize,8751.7758,1500,,0.46095667,3.3237099e-05,,0,5.4350651e-06,1.8762227,561,355.13323,602.30983,rho controls ADMM penalty balance
task2_admm_rho,task2_dynamic_partition,admm_affine_box,Chapter 8,rho,120,max_iter,91782.621,91782.621,minimize,12432.421,1500,,0.42834079,2.9022686e-05,,0,7.0528857e-06,3.7245537,627,398.12908,555.12718,rho controls ADMM penalty balance
task2_alm_rho0,task2_dynamic_partition,augmented_lagrangian_bb,Chapter 7 + Chapter 6,rho0,0.25,max_iter,80494.983,80494.983,minimize,1144.7826,6000,12,0.84690808,0.0019953921,0,0,0.0019953921,,445,282.59987,829.16858,rho_multiplier fixed at 2.0
task2_alm_rho0,task2_dynamic_partition,augmented_lagrangian_bb,Chapter 7 + Chapter 6,rho0,0.5,max_iter,80724.508,80724.508,minimize,1374.3078,6000,12,0.81908204,0.0015169993,0,0,0.0015169993,,446,282.59998,802.73591,rho_multiplier fixed at 2.0
task2_alm_rho0,task2_dynamic_partition,augmented_lagrangian_bb,Chapter 7 + Chapter 6,rho0,1,max_iter,81974.58,81974.58,minimize,2624.3802,6000,12,0.81677804,0.001003132,0,0,0.001003132,,484,282.59997,726.61811,rho_multiplier fixed at 2.0
task2_alm_rho0,task2_dynamic_partition,augmented_lagrangian_bb,Chapter 7 + Chapter 6,rho0,2,optimal,84841.139,84841.139,minimize,5490.9389,5000,10,0.70822146,5.9809062e-07,0,0,5.9809062e-07,,507,308.53172,661.06747,rho_multiplier fixed at 2.0
