scenario,period,cache_index,cache_pallet_index,cache_x,cache_y,service_workstation_index,inventory_before,inventory_after
task1_cache,1,0,6,21,16,15,0.00000000,115.00000000
task1_cache,1,1,14,5,6,0,0.00000000,30.00000000
task1_cache,1,2,35,24,8,8,0.00000000,119.00000000
task1_cache,1,3,38,12,16,14,0.00000000,155.00000000
task1_cache,1,4,62,9,9,2,0.00000000,87.00000000
task1_cache,1,5,70,20,5,3,0.00000000,155.00000000
task1_cache,1,6,73,17,9,3,0.00000000,58.00000000
task1_cache,1,7,101,12,5,2,0.00000000,35.00000000
task1_cache,1,8,115,26,13,9,0.00000000,69.00000000
task1_cache,1,9,120,5,15,12,0.00000000,11.00000000
task1_cache,2,0,6,21,16,15,115.00000000,145.00000000
task1_cache,2,1,14,5,6,0,30.00000000,96.00000000
task1_cache,2,2,35,24,8,8,119.00000000,76.00000000
task1_cache,2,3,38,12,16,14,155.00000000,35.00000000
task1_cache,2,4,62,9,9,2,87.00000000,120.00000000
task1_cache,2,5,70,20,5,3,155.00000000,194.00000000
task1_cache,2,6,73,17,9,3,58.00000000,58.00000000
task1_cache,2,7,101,12,5,2,35.00000000,63.00000000
task1_cache,2,8,115,26,13,9,69.00000000,153.00000000
task1_cache,2,9,120,5,15,12,11.00000000,44.00000000
task1_cache,3,0,6,21,16,15,145.00000000,88.00000000
task1_cache,3,1,14,5,6,0,96.00000000,159.00000000
task1_cache,3,2,35,24,8,8,76.00000000,76.00000000
task1_cache,3,3,38,12,16,14,35.00000000,183.00000000
task1_cache,3,4,62,9,9,2,120.00000000,79.00000000
task1_cache,3,5,70,20,5,3,194.00000000,131.00000000
task1_cache,3,6,73,17,9,3,58.00000000,58.00000000
task1_cache,3,7,101,12,5,2,63.00000000,243.00000000
task1_cache,3,8,115,26,13,9,153.00000000,240.00000000
task1_cache,3,9,120,5,15,12,44.00000000,76.00000000
task1_cache,4,0,6,21,16,15,88.00000000,128.00000000
task1_cache,4,1,14,5,6,0,159.00000000,86.00000000
task1_cache,4,2,35,24,8,8,76.00000000,76.00000000
task1_cache,4,3,38,12,16,14,183.00000000,200.00000000
task1_cache,4,4,62,9,9,2,79.00000000,146.00000000
task1_cache,4,5,70,20,5,3,131.00000000,11.00000000
task1_cache,4,6,73,17,9,3,58.00000000,89.00000000
task1_cache,4,7,101,12,5,2,243.00000000,123.00000000
task1_cache,4,8,115,26,13,9,240.00000000,120.00000000
task1_cache,4,9,120,5,15,12,76.00000000,169.00000000
task1_cache,5,0,6,21,16,15,128.00000000,63.00000000
task1_cache,5,1,14,5,6,0,86.00000000,246.00000000
task1_cache,5,2,35,24,8,8,76.00000000,76.00000000
task1_cache,5,3,38,12,16,14,200.00000000,181.00000000
task1_cache,5,4,62,9,9,2,146.00000000,26.00000000
task1_cache,5,5,70,20,5,3,11.00000000,61.00000000
task1_cache,5,6,73,17,9,3,89.00000000,215.00000000
task1_cache,5,7,101,12,5,2,123.00000000,90.00000000
task1_cache,5,8,115,26,13,9,120.00000000,0.00000000
task1_cache,5,9,120,5,15,12,169.00000000,104.00000000
task1_cache,6,0,6,21,16,15,63.00000000,337.00000000
task1_cache,6,1,14,5,6,0,246.00000000,270.00000000
task1_cache,6,2,35,24,8,8,76.00000000,76.00000000
task1_cache,6,3,38,12,16,14,181.00000000,136.00000000
task1_cache,6,4,62,9,9,2,26.00000000,88.00000000
task1_cache,6,5,70,20,5,3,61.00000000,61.00000000
task1_cache,6,6,73,17,9,3,215.00000000,142.00000000
task1_cache,6,7,101,12,5,2,90.00000000,152.00000000
task1_cache,6,8,115,26,13,9,0.00000000,0.00000000
task1_cache,6,9,120,5,15,12,104.00000000,97.00000000
task1_cache,7,0,6,21,16,15,337.00000000,480.00000000
task1_cache,7,1,14,5,6,0,270.00000000,217.00000000
task1_cache,7,2,35,24,8,8,76.00000000,76.00000000
task1_cache,7,3,38,12,16,14,136.00000000,147.00000000
task1_cache,7,4,62,9,9,2,88.00000000,88.00000000
task1_cache,7,5,70,20,5,3,61.00000000,61.00000000
task1_cache,7,6,73,17,9,3,142.00000000,90.00000000
task1_cache,7,7,101,12,5,2,152.00000000,150.00000000
task1_cache,7,8,115,26,13,9,0.00000000,0.00000000
task1_cache,7,9,120,5,15,12,97.00000000,134.00000000
task1_cache,8,0,6,21,16,15,480.00000000,362.00000000
task1_cache,8,1,14,5,6,0,217.00000000,231.00000000
task1_cache,8,2,35,24,8,8,76.00000000,0.00000000
task1_cache,8,3,38,12,16,14,147.00000000,78.00000000
task1_cache,8,4,62,9,9,2,88.00000000,0.00000000
task1_cache,8,5,70,20,5,3,61.00000000,0.00000000
task1_cache,8,6,73,17,9,3,90.00000000,0.00000000
task1_cache,8,7,101,12,5,2,150.00000000,30.00000000
task1_cache,8,8,115,26,13,9,0.00000000,0.00000000
task1_cache,8,9,120,5,15,12,134.00000000,132.00000000
task1_cache,9,0,6,21,16,15,362.00000000,242.00000000
task1_cache,9,1,14,5,6,0,231.00000000,111.00000000
task1_cache,9,2,35,24,8,8,0.00000000,0.00000000
task1_cache,9,3,38,12,16,14,78.00000000,0.00000000
task1_cache,9,4,62,9,9,2,0.00000000,0.00000000
task1_cache,9,5,70,20,5,3,0.00000000,0.00000000
task1_cache,9,6,73,17,9,3,0.00000000,0.00000000
task1_cache,9,7,101,12,5,2,30.00000000,0.00000000
task1_cache,9,8,115,26,13,9,0.00000000,0.00000000
task1_cache,9,9,120,5,15,12,132.00000000,12.00000000
task1_cache,10,0,6,21,16,15,242.00000000,122.00000000
task1_cache,10,1,14,5,6,0,111.00000000,0.00000000
task1_cache,10,2,35,24,8,8,0.00000000,0.00000000
