pallet_index,workstation_index,quantity
0,3,17.39753828
0,4,4.61256831
0,5,3.95718040
0,6,4.27670963
0,7,7.59971211
0,8,7.15628800
1,11,9.51245325
1,15,14.31551871
1,16,10.94019624
1,17,10.23182755
2,13,3.07899120
2,14,65.92100549
3,10,15.34351408
3,11,9.53602220
3,15,17.61497730
3,16,12.36587999
3,17,11.13959999
4,2,56.99999503
5,13,3.43753053
5,14,71.56246645
6,11,15.13600434
6,15,59.92396764
6,16,26.80642996
6,17,20.13359496
7,12,43.52577388
7,13,3.47422361
8,13,64.99999730
9,4,94.26955627
9,5,29.53778550
9,6,25.19265629
10,10,6.89469784
10,11,5.84906420
10,15,6.19460997
10,16,5.42832312
10,17,5.63330005
11,3,18.60575869
11,4,4.69439853
11,5,4.06858724
11,6,4.39987846
11,7,7.84350412
11,8,7.38786961
12,9,49.01760040
12,10,23.33614973
12,11,14.42269190
12,15,64.72279383
12,16,24.33827911
12,17,16.16247778
13,0,67.99999695
14,0,65.99999728
15,4,8.11238495
15,5,6.46186149
15,6,7.02293439
15,7,19.06192404
15,8,17.34089270
16,12,95.62434260
16,13,3.37565466
17,13,1.99245298
17,14,29.00754084
18,0,53.99999685
19,13,3.98733901
19,14,102.01265861
20,5,5.33962728
20,6,5.83676112
20,7,13.20891819
20,8,11.61468997
21,6,7.74831911
21,7,20.95395480
21,8,19.29772396
22,2,39.99999519
23,3,20.49527834
23,4,5.31682309
23,5,4.35730378
23,6,4.83059170
24,1,105.99995535
25,0,62.99999735
26,9,33.24538246
26,10,26.42243778
26,11,15.14059969
26,17,17.19157661
27,2,52.99999708
28,12,51.34835052
28,13,3.65164721
29,13,2.42754625
29,14,48.57244182
30,2,117.99999552
31,0,79.99999731
32,5,5.38363764
32,6,5.91806543
32,7,13.61387935
32,8,12.08441462
33,13,3.49187954
33,14,65.50811772
34,5,45.17812922
34,6,43.82186899
35,6,9.12337379
35,7,32.76423259
35,8,34.11239124
36,9,11.36689439
36,10,10.65989229
36,11,7.54841083
36,15,11.19034670
36,16,8.81942618
36,17,8.41502344
37,1,28.99995549
38,13,3.67466245
38,14,58.32533529
39,9,4.69544835
39,10,4.75932362
39,11,3.88208397
39,15,4.40438614
39,16,4.06754897
39,17,4.19119869
40,0,48.99999682
41,3,38.87236921
41,4,6.78450011
41,5,5.43626438
41,6,5.90686347
42,11,7.56602617
42,15,7.68021902
42,16,6.49310886
42,17,7.26063857
43,0,89.99999714
44,9,10.75605664
44,10,10.13237218
44,11,7.25580765
44,15,10.46399136
44,16,8.36477429
44,17,8.02699375
45,6,48.99999816
46,0,32.99999705
47,13,40.99999715
48,12,126.49744540
48,13,4.50255240
49,9,5.97129969
49,10,6.00125788
49,11,5.14293110
49,15,5.70769388
49,16,5.07181265
49,17,5.10499943
50,6,8.90575418
50,7,28.55688484
50,8,27.53735899
51,13,2.20478388
51,14,59.79520746
52,6,6.22693513
52,7,13.78453989
52,8,11.98852267
53,1,92.99995549
54,6,6.44332442
54,7,17.41532035
54,8,15.14135201
55,10,11.44495385
55,11,8.14100109
55,15,11.48817861
55,16,9.14139853
55,17,8.78446417
56,12,77.52321210
56,13,3.47678533
57,12,31.98078481
57,13,3.01921261
58,2,34.99999672
59,3,35.23941011
59,4,7.67492468
59,5,6.08566230
60,2,167.25228328
60,13,1.74771279
61,12,43.44239745
61,13,2.55759931
62,2,48.99999651
63,12,49.22911418
63,13,3.77088355
64,2,61.99999576
65,3,17.09964893
65,4,5.05667981
65,5,4.18283892
