pallet_index,pallet_id,workstation_index,quantity,primary_station
0,10000,3,16.29983449,3
0,10000,4,5.03877622,3
0,10000,5,4.30376400,3
0,10000,6,4.26962784,3
0,10000,7,7.61677899,3
0,10000,8,7.47119321,3
1,10001,11,9.40111572,15
1,10001,15,14.16251282,15
1,10001,16,10.77259819,15
1,10001,17,10.66375781,15
2,10002,13,3.42681842,14
2,10002,14,65.57317442,14
3,10003,10,15.50972308,15
3,10003,11,10.64329967,15
3,10003,15,16.61128583,15
3,10003,16,11.83741032,15
3,10003,17,11.39826888,15
4,10004,2,56.99998920,2
5,10005,13,3.55693726,14
5,10005,14,71.44305608,14
6,10006,11,16.49740257,15
6,10006,15,60.28424716,15
6,10006,16,25.60286755,15
6,10006,17,19.61547846,15
7,10007,12,43.71828723,12
7,10007,13,3.28170347,12
8,10008,13,65.00002158,13
9,10009,4,91.77015268,4
9,10009,5,22.48851418,4
9,10009,6,34.74133091,4
10,10010,10,5.75629932,15
10,10010,11,5.60344997,15
10,10010,15,6.95824068,15
10,10010,16,6.04620283,15
10,10010,17,5.63577615,15
11,10011,3,17.87313430,3
11,10011,4,5.12216635,3
11,10011,5,4.35019117,3
11,10011,6,4.29652836,3
11,10011,7,7.75818096,3
11,10011,8,7.59977457,3
12,10012,9,41.56344366,15
12,10012,10,30.86118344,15
12,10012,11,14.84448707,15
12,10012,15,61.09307515,15
12,10012,16,25.84755544,15
12,10012,17,17.79024970,15
13,10013,0,67.99999399,0
14,10014,0,65.99999414,0
15,10015,4,9.18526907,7
15,10015,5,6.75342950,7
15,10015,6,6.52623518,7
15,10015,7,18.48432558,7
15,10015,8,17.05072506,7
16,10016,12,95.51849081,12
16,10016,13,3.48150460,12
17,10017,13,1.87105394,14
17,10017,14,29.12891543,14
18,10018,0,53.99999241,0
19,10019,13,3.57413122,14
19,10019,14,102.42586467,14
20,10020,5,5.67982293,7
20,10020,6,5.63375015,7
20,10020,7,12.62831712,7
20,10020,8,12.05808471,7
21,10021,6,7.38591067,7
21,10021,7,20.38422515,7
21,10021,8,20.22985136,7
22,10022,2,39.99998473,2
23,10023,3,19.59455357,3
23,10023,4,5.81354255,3
23,10023,5,4.83327559,3
23,10023,6,4.75860695,3
24,10024,1,105.99977366,1
25,10025,0,62.99999399,0
