period,agv_index,start_x,start_y,pallet_index,pallet_id,pallet_x,pallet_y,processed_quantity,remaining_quantity_after_route,cache_pallet_index,cache_x,cache_y,workstation_index,workstation_x,workstation_y,pickup_distance,transfer_distance,cache_to_workstation_distance,route_cost
1,0,21,13,79,10079,20,16,80.00000000,37.00000000,6,21,16,15,23,21,4.00000000,1.00000000,7.00000000,12.00000000
1,1,0,10,104,10104,12,15,27.00000000,0.00000000,38,12,16,14,12,21,17.00000000,1.00000000,5.00000000,23.00000000
1,2,22,9,6,10006,21,16,80.00000000,42.00000000,6,21,16,15,23,21,8.00000000,0.00000000,7.00000000,15.00000000
1,3,2,18,19,10019,13,15,80.00000000,26.00000000,38,12,16,13,11,21,14.00000000,2.00000000,6.00000000,22.00000000
1,4,25,8,35,10035,24,8,76.00000000,0.00000000,35,24,8,8,31,8,1.00000000,0.00000000,7.00000000,8.00000000
1,5,1,19,38,10038,12,16,62.00000000,0.00000000,38,12,16,14,12,21,14.00000000,0.00000000,5.00000000,19.00000000
1,6,26,17,26,10026,25,13,80.00000000,12.00000000,115,26,13,9,31,14,5.00000000,1.00000000,6.00000000,12.00000000
1,7,9,21,8,10008,11,16,65.00000000,0.00000000,38,12,16,14,12,21,7.00000000,1.00000000,5.00000000,13.00000000
1,8,26,21,115,10115,26,13,80.00000000,4.00000000,115,26,13,9,31,14,8.00000000,0.00000000,6.00000000,14.00000000
1,9,22,4,70,10070,20,5,80.00000000,102.00000000,70,20,5,3,21,0,3.00000000,0.00000000,6.00000000,9.00000000
1,10,14,17,96,10096,13,16,38.00000000,0.00000000,38,12,16,13,11,21,2.00000000,1.00000000,6.00000000,9.00000000
1,11,2,4,101,10101,12,5,80.00000000,7.00000000,101,12,5,2,9,0,11.00000000,0.00000000,8.00000000,19.00000000
2,0,23,21,32,10032,23,8,37.00000000,0.00000000,35,24,8,8,31,8,13.00000000,1.00000000,7.00000000,21.00000000
2,1,12,21,33,10033,14,15,69.00000000,0.00000000,38,12,16,14,12,21,8.00000000,3.00000000,5.00000000,16.00000000
2,2,23,21,54,10054,24,9,39.00000000,0.00000000,35,24,8,8,31,8,13.00000000,1.00000000,7.00000000,21.00000000
2,3,11,21,129,10129,9,16,52.00000000,0.00000000,38,12,16,14,12,21,7.00000000,3.00000000,5.00000000,15.00000000
2,4,31,8,21,10021,25,8,48.00000000,0.00000000,35,24,8,8,31,8,6.00000000,1.00000000,7.00000000,14.00000000
2,5,12,21,6,10006,21,16,42.00000000,0.00000000,6,21,16,15,23,21,14.00000000,0.00000000,7.00000000,21.00000000
2,6,31,14,126,10126,26,12,40.00000000,0.00000000,115,26,13,9,31,14,7.00000000,1.00000000,6.00000000,14.00000000
2,7,12,21,79,10079,20,16,37.00000000,0.00000000,6,21,16,15,23,21,13.00000000,1.00000000,7.00000000,21.00000000
