scenario,period,active_pallets_before,dispatched_routes,direct_routes,inbound_routes,outbound_routes,processed_quantity,moved_to_cache_quantity,remaining_pallets_after,remaining_quantity_after,cache_quantity_after,station_count_used,min_station_processed,max_station_processed,plan_status,plan_iterations,assignment_status,assignment_iterations,plan_objective,round_distance,station_pull_routes
task1_only,1,140,12,12,0,0,717.0,0.0,131,7761.0,0.0,11,29.0,160.0,optimal,19,optimal,9,5533.301908076789,166.0,
task1_only,2,131,12,12,0,0,807.0,0.0,123,6954.0,0.0,9,52.0,141.0,optimal,19,optimal,8,5860.247853392568,173.0,
task1_only,3,123,12,12,0,0,693.0,0.0,115,6261.0,0.0,7,31.0,156.0,optimal,19,optimal,9,6633.475649524016,231.0,
task1_only,4,115,12,12,0,0,574.0,0.0,106,5687.0,0.0,9,30.0,122.0,optimal,22,optimal,10,7255.298507386143,229.0,
task1_only,5,106,12,12,0,0,694.0,0.0,96,4993.0,0.0,9,39.0,160.0,optimal,20,optimal,9,7406.964480111767,216.0,
task1_only,6,96,12,12,0,0,537.0,0.0,84,4456.0,0.0,6,46.0,150.0,optimal,25,optimal,9,7813.268081039494,215.0,
task1_only,7,84,12,12,0,0,524.0,0.0,73,3932.0,0.0,9,31.0,128.0,optimal,17,optimal,8,8322.845329497397,230.0,
task1_only,8,73,12,12,0,0,637.0,0.0,65,3295.0,0.0,5,28.0,160.0,optimal,17,optimal,9,8749.777627527945,265.0,
task1_only,9,65,12,12,0,0,574.0,0.0,55,2721.0,0.0,6,31.0,160.0,optimal,23,optimal,9,8876.680311509812,280.0,
task1_only,10,55,12,12,0,0,641.0,0.0,44,2080.0,0.0,6,68.0,137.0,optimal,17,optimal,8,9498.212532497113,272.0,
task1_only,11,44,12,12,0,0,624.0,0.0,36,1456.0,0.0,8,24.0,151.0,optimal,20,optimal,8,9963.312441111379,270.0,
task1_only,12,36,12,12,0,0,622.0,0.0,27,834.0,0.0,6,62.0,134.0,optimal,20,optimal,9,10828.03097355624,292.0,
task1_only,13,27,12,12,0,0,613.0,0.0,17,221.0,0.0,7,43.0,132.0,optimal,33,optimal,9,9971.988259354448,296.0,
task1_only,14,17,12,12,0,0,210.0,0.0,5,11.0,0.0,7,9.0,86.0,optimal,19,optimal,9,2299.8831230248134,242.0,
task1_only,15,5,5,5,0,0,11.0,0.0,0,0.0,0.0,4,1.0,4.0,optimal,21,optimal,8,82.88717074711141,126.0,
task1_partition,1,140,12,12,0,0,765.0,0.0,132,7713.0,0.0,9,33.0,160.0,optimal,22,optimal,8,5247.840773713622,161.0,
task1_partition,2,132,12,12,0,0,703.0,0.0,122,7010.0,0.0,11,32.0,141.0,optimal,24,optimal,9,6319.2975957109975,173.0,
task1_partition,3,122,12,12,0,0,750.0,0.0,115,6260.0,0.0,10,30.0,156.0,optimal,21,optimal,9,6454.293662225117,186.0,
task1_partition,4,115,12,12,0,0,659.0,0.0,105,5601.0,0.0,8,35.0,115.0,optimal,22,optimal,9,7130.548657512176,239.0,
task1_partition,5,105,12,12,0,0,622.0,0.0,97,4979.0,0.0,7,29.0,160.0,optimal,21,optimal,8,7636.683633897202,214.0,
task1_partition,6,97,12,12,0,0,541.0,0.0,86,4438.0,0.0,7,28.0,101.0,optimal,20,optimal,9,7876.313994698013,221.0,
task1_partition,7,86,12,12,0,0,510.0,0.0,75,3928.0,0.0,7,33.0,160.0,optimal,22,optimal,9,8645.480608062579,240.0,
task1_partition,8,75,12,12,0,0,721.0,0.0,66,3207.0,0.0,8,30.0,160.0,optimal,24,optimal,9,9008.549052552333,262.0,
task1_partition,9,66,12,12,0,0,602.0,0.0,55,2605.0,0.0,7,36.0,133.0,optimal,26,optimal,9,9183.070384494249,264.0,
task1_partition,10,55,12,12,0,0,611.0,0.0,46,1994.0,0.0,7,36.0,118.0,max_iter,220,optimal,9,9637.99996925259,270.0,
task1_partition,11,46,12,12,0,0,637.0,0.0,37,1357.0,0.0,7,40.0,133.0,max_iter,220,optimal,9,10225.000034571745,310.0,
task1_partition,12,37,12,12,0,0,642.0,0.0,30,715.0,0.0,7,45.0,160.0,optimal,22,optimal,9,10858.756352610548,278.0,
task1_partition,13,30,12,12,0,0,515.0,0.0,18,200.0,0.0,6,26.0,132.0,optimal,16,optimal,8,8305.999669655928,311.0,
task1_partition,14,18,12,12,0,0,182.0,0.0,6,18.0,0.0,10,9.0,48.0,max_iter,220,optimal,9,1625.0000030897547,240.0,
task1_partition,15,6,6,6,0,0,18.0,0.0,0,0.0,0.0,4,1.0,11.0,max_iter,220,optimal,8,1.0200005299999996e-06,125.0,
task1_partition_cache,1,140,12,0,12,0,0.0,878.0,135,7600.0,878.0,0,0.0,0.0,optimal,21,optimal,9,28.46136191893312,94.0,0
task1_partition_cache,2,135,12,0,12,0,817.0,757.0,128,6843.0,818.0,8,62.0,160.0,optimal,24,optimal,9,1115.4718824379295,56.0,10
task1_partition_cache,3,128,12,0,12,0,762.0,621.0,119,6222.0,677.0,7,61.0,160.0,optimal,27,optimal,10,1361.2722639889012,91.0,8
task1_partition_cache,4,119,12,0,12,0,604.0,741.0,110,5481.0,814.0,6,38.0,160.0,optimal,27,optimal,8,1726.1537184646008,65.0,8
task1_partition_cache,5,110,12,0,12,0,688.0,507.0,98,4974.0,633.0,7,66.0,160.0,optimal,32,optimal,9,2047.9552450071083,85.0,9
task1_partition_cache,6,98,12,0,12,0,594.0,661.0,86,4313.0,700.0,5,46.0,160.0,optimal,28,optimal,8,2641.430842064843,95.0,7
task1_partition_cache,7,86,12,0,12,0,534.0,596.0,74,3717.0,762.0,6,37.0,160.0,optimal,36,optimal,9,2883.0324124581643,100.0,7
task1_partition_cache,8,74,12,3,9,0,909.0,477.0,65,3025.0,545.0,10,46.0,160.0,optimal,31,optimal,8,3423.15752143414,119.0,8
task1_partition_cache,9,65,12,2,10,0,617.0,421.0,54,2532.0,421.0,8,29.0,147.0,optimal,31,optimal,9,3857.338734906787,135.0,6
